Week,Day,Column,Set1,Set2,Set3,Set4,Set5,Set6,Set7,Set8,SetFinal,RecommendedRest
1,1,1,2,3,2,2,,,,,MAX≥3,60s+
1,1,2,6,6,4,4,,,,,MAX≥5,60s+
1,1,3,10,12,7,7,,,,,MAX≥9,60s+
1,2,1,3,4,2,3,,,,,MAX≥4,60s+
1,2,2,6,8,6,6,,,,,MAX≥7,60s+
1,2,3,10,12,8,8,,,,,MAX≥12,60s+
1,3,1,4,5,4,4,,,,,MAX≥5,60s+
1,3,2,8,10,7,7,,,,,MAX≥10,60s+
1,3,3,11,15,9,9,,,,,MAX≥13,60s+
2,1,1,4,6,4,4,,,,,MAX≥6,60s+
2,1,2,9,11,8,8,,,,,MAX≥8,60s+
2,1,3,14,14,10,10,,,,,MAX≥10,60s+
2,2,1,5,6,4,4,,,,,MAX≥7,90+
2,2,2,9,11,8,8,,,,,MAX≥13,90+
2,2,3,14,14,10,10,,,,,MAX≥17,90+
2,3,1,5,7,5,5,,,,,MAX≥8,120+
2,3,2,12,13,10,10,,,,,MAX≥15,120+
2,3,3,16,17,14,14,,,,,MAX≥20,120+
3,1,1,10,12,7,7,,,,,MAX≥9,60s+
3,1,2,12,17,13,13,,,,,MAX≥17,60s+
3,1,3,14,18,14,14,,,,,MAX≥20,60s+
3,2,1,10,12,8,8,,,,,MAX≥12,90+
3,2,2,14,19,14,14,,,,,MAX≥19,90+
3,2,3,20,25,15,15,,,,,MAX≥25,90+
3,3,1,11,13,9,9,,,,,MAX≥13,120+
3,3,2,16,21,15,15,,,,,MAX≥21,120+
3,3,3,22,30,20,20,,,,,MAX≥28,120+
4,1,1,12,14,11,10,,,,,MAX≥16,60s+
4,1,2,18,22,16,16,,,,,MAX≥25,60s+
4,1,3,21,25,21,21,,,,,MAX≥32,60s+
4,2,1,14,16,12,12,,,,,MAX≥18,90s+
4,2,2,20,25,20,20,,,,,MAX≥28,90s+
4,2,3,25,29,25,25,,,,,MAX≥36,90s+
4,3,1,16,18,13,13,,,,,MAX≥20,120+
4,3,2,23,28,23,23,,,,,MAX≥33,120+
4,3,3,29,33,29,29,,,,,MAX≥40,120+
5,1,1,17,19,15,15,,,,,MAX≥20,60s+
5,1,2,28,35,25,22,,,,,MAX≥35,60s+
5,1,3,36,40,30,24,,,,,MAX≥40,60s+
5,2,1,10,10,13,13,10,10,9,,MAX≥25,45s+
5,2,2,18,18,20,20,14,14,16,,MAX≥40,45s+
5,2,3,19,19,22,22,18,18,22,,MAX≥45,45s+
5,3,1,13,13,15,15,12,12,10,,MAX≥30,45s+
5,3,2,18,18,20,20,17,17,20,,MAX≥45,45s+
5,3,3,20,20,24,24,20,20,22,,MAX≥50,45s+
6,1,1,25,30,20,15,,,,,MAX≥40,60-90s
6,1,2,45,55,35,30,,,,,MAX≥50,60-90s
6,1,3,32,45,32,32,,,,,MAX≥55,90s+
6,2,1,14,14,15,15,14,14,10,10,MAX≥44,60-90s
6,2,2,20,20,23,23,20,20,18,18,MAX≥53,60-90s
6,2,3,22,22,30,30,24,24,18,18,MAX≥58,90s+
6,3,1,13,13,17,17,16,16,14,14,MAX≥50,60-90s
6,3,2,22,22,30,30,25,25,18,18,MAX≥55,60-90s
6,3,3,26,26,33,33,26,26,22,22,MAX≥60,90s+
